#{"t_start": 1670325089.2088742, "env_id": null}
r,l,t
18.1323,1001,13.177428
18.115786,1001,25.11697
18.115627,1001,38.057169
18.116189,1001,50.167922
18.11518,1001,64.510528
18.116106,1001,76.038942
18.127607,1001,88.143584
18.130249,1001,101.108688
18.115879,1001,116.201725
18.116208,1001,127.984021
18.115808,1001,139.597693
18.115868,1001,151.443718
18.131567,1001,166.057174
18.130323,1001,177.674627
18.115808,1001,189.334229
18.115864,1001,202.143269
18.115925,1001,217.672199
18.115893,1001,229.712838
18.115792,1001,241.345244
18.127446,1001,252.990787
18.116031,1001,267.285396
18.115239,1001,279.275525
18.131518,1001,290.853917
18.115949,1001,302.298765
18.115655,1001,316.805946
18.11518,1001,328.696212
18.115881,1001,340.362365
18.115859,1001,351.961608
18.122647,1001,366.809988
18.128343,1001,378.480329
18.129958,1001,390.320576
18.115617,1001,402.148461
18.125911,1001,416.621743
18.115742,1001,428.416986
18.115808,1001,440.119726
18.116122,1001,452.243918
18.129126,1001,467.39167
18.115221,1001,480.846984
18.127751,1001,494.266069
18.115865,1001,507.423723
18.130931,1001,523.754261
18.11581,1001,535.489374
18.115051,1001,548.278625
18.11577,1001,561.622244
18.115974,1001,575.026058
18.127628,1001,590.770394
18.115814,1001,604.227322
18.129845,1001,617.488446
18.132383,1001,630.82267
18.115943,1001,645.619771
18.11573,1001,657.687669
18.115126,1001,669.63303
18.115806,1001,681.202208
18.115928,1001,695.431286
18.115955,1001,707.08204
18.115921,1001,719.605455
18.132638,1001,733.003996
18.115972,1001,748.842005
18.115993,1001,761.677759
18.115839,1001,773.377597
18.115653,1001,785.360316
18.115482,1001,799.80416
18.115288,1001,811.559718
18.127454,1001,823.347303
18.115878,1001,835.14353
18.116121,1001,851.455461
18.11603,1001,864.789519
18.115188,1001,876.331028
18.11585,1001,888.400288
18.115747,1001,903.566174
18.11564,1001,917.096639
18.116217,1001,930.439366
18.115798,1001,943.723661
18.11599,1001,959.360157
18.11589,1001,972.41342
18.115932,1001,985.57286
18.115447,1001,997.519859
18.115205,1001,1012.053104
18.115968,1001,1023.935967
18.115771,1001,1035.777376
18.115873,1001,1047.643989
18.115746,1001,1061.91308
18.115015,1001,1073.670681
18.11539,1001,1085.409182
18.115889,1001,1096.874263
18.120084,1001,1111.276838
18.11536,1001,1123.154475
18.115875,1001,1134.828767
18.124076,1001,1146.778377
18.130309,1001,1158.490728
18.116857,1001,1173.228594
18.115932,1001,1185.038508
18.131483,1001,1197.10609
18.116044,1001,1208.873575
18.11603,1001,1223.346781
18.11595,1001,1235.007567
18.115139,1001,1246.590389
18.116626,1001,1258.242158
18.115789,1001,1272.553726
18.115338,1001,1284.282623
18.115617,1001,1296.075525
18.116002,1001,1307.946086
18.115741,1001,1322.422873
18.115307,1001,1333.984573
18.115198,1001,1345.50199
18.125893,1001,1357.024749
18.115225,1001,1371.607589
18.130494,1001,1384.361054
18.115988,1001,1396.044418
18.121995,1001,1407.624376
18.116107,1001,1422.219521
18.115654,1001,1434.059746
18.115284,1001,1445.754041
18.115986,1001,1457.489059
18.115877,1001,1471.987802
18.116088,1001,1483.877536
18.115564,1001,1495.393
18.115976,1001,1506.904867
18.11512,1001,1522.000542
18.115014,1001,1535.177477
18.115309,1001,1547.789231
