#{"t_start": 1669995092.000832, "env_id": null}
r,l,t
0,77,3.114824
0,404,5.191524
0,263,6.647903
0.007353,126,7.680169
0,142,8.934968
0,296,10.98644
0,322,13.025392
0,551,16.085817
0.006154,498,19.36235
0,610,22.846765
0.00841,346,24.905622
0.030852,515,30.330873
0,455,32.936384
0,147,34.014698
0,385,36.288421
0.097096,219,37.691383
0,134,38.682398
0,344,40.822576
0,315,42.865507
0.017658,136,43.983653
0,431,46.576773
0.160379,648,50.278845
0,253,52.037643
0.00309,234,53.535566
0.001999,268,55.233145
0.002057,103,58.639927
0.068973,841,63.335546
0.003841,158,64.498073
0.012797,57,65.159854
0,95,66.017252
0.006633,273,67.743528
0.019938,208,69.129144
0.021475,656,72.888465
0,758,77.153247
0,566,80.377354
0.032609,304,82.311097
0.00915,95,83.142623
0,150,86.644615
0.011597,737,90.783008
0,131,91.819601
0,144,92.920475
0,209,94.354883
0,878,99.330282
0.006576,497,102.244227
0,882,107.229641
0.006341,209,108.721656
0.002516,987,116.245783
0,79,116.936789
0,210,118.297777
0.07686,72,118.947191
0.02871,339,120.957594
0.006137,397,123.297884
0.001455,793,127.578335
0,815,132.184688
0.035215,1001,139.969356
0.003977,196,141.294544
0,558,144.461919
0.005535,115,145.28583
0.001915,61,145.862713
0,1001,151.477013
0,464,154.28635
0.036255,310,156.231693
0.003647,139,157.381366
0.021844,778,161.813256
0.007502,549,167.337821
0,594,170.650158
0.002146,751,174.788291
0,242,176.501314
0.012337,203,177.822473
0.009485,214,179.225547
0,137,180.290053
0.012217,130,181.240092
0.004987,193,182.6916
0.074823,691,186.575924
0.003411,173,187.846406
0,1001,195.826737
0,655,199.786332
0.198465,173,201.024203
0,82,201.845329
0,663,205.647391
0.006943,23,206.086725
0.054561,514,209.057826
0.016969,1001,214.846602
0.030977,1001,222.835695
0,355,224.972068
0.010416,232,226.479044
0.012564,280,228.247177
0.028307,673,231.955634
0,188,233.277276
0,236,234.798366
0.091261,409,237.238606
0,1001,242.754422
0,146,246.342494
0,621,249.945013
0,862,254.63299
0,88,255.432009
0.010442,598,258.832668
0,259,260.462607
0.001369,926,265.580389
0,434,268.032434
0.004418,114,268.94544
0,1001,276.76299
0.017435,965,281.966251
0.072796,408,284.355081
0,695,288.334516
0,91,289.12658
0.007615,324,291.166783
0.01168,1001,299.509055
0.015084,503,302.532746
0.025137,578,306.040374
0,236,307.630532
0,1001,313.083104
0.000722,454,315.721618
0.058915,325,317.703665
0.001756,208,319.076499
0.000282,676,325.609334
0.020272,598,329.178239
0.107023,1001,335.268321
0,392,337.855731
0.077828,827,343.011897
0.011344,499,346.192069
0.011147,180,347.479025
0.012741,195,348.822984
0.010044,238,350.49765
0.016455,1001,358.556914
0.003409,461,361.667084
0.021452,499,364.654573
0.054713,1001,370.802535
0.002862,769,375.472004
0,140,376.75121
0.01243,955,384.15467
0.012068,76,384.923598
0.011866,242,386.851838
0.007737,146,388.109597
0.030201,247,389.885762
0.000181,63,390.631964
0,872,395.957582
0.001717,759,400.765565
0,828,406.227722
0,30,406.801887
0,323,411.686663
0.011961,202,413.21826
0.017638,412,415.982599
0,257,417.702344
0,403,420.20348
0.045405,144,421.352786
0.01019,1001,427.619753
0.027224,101,428.516065
0,291,430.48769
0.00137,234,432.308649
0,930,439.845988
0.012146,448,442.426212
0.014026,29,442.918238
0,431,445.954127
0,104,446.962179
0,190,448.490839
0,280,450.739601
0.00459,515,454.576579
0,417,457.80456
0.018661,134,458.928783
0,198,460.367036
0.003782,467,463.003504
0.00196,128,463.956565
0,640,467.735792
0.007501,252,471.44346
0,660,475.293405
0.014876,34,475.806615
0.086251,1001,481.456154
0,248,483.070936
0,119,484.087519
0.002305,457,486.799145
0.000758,251,488.485775
0,45,489.073363
0,208,490.515982
0.001166,319,492.517565
0.005087,1001,500.208375
0.004758,956,506.414291
0,318,508.406875
0,533,511.626277
0.007402,915,516.858865
0.008103,93,517.685263
0,348,520.200202
0.010266,589,526.825066
0.000555,1001,532.212884
0.003474,1001,537.879527
0,241,539.635124
0.0857,99,540.514575
0.002627,1001,546.166587
0,762,553.522377
0,304,556.087689
0.007004,90,556.968105
0.002505,1001,562.556202
0.002838,821,567.171796
0.006925,191,568.438658
0.023163,1001,574.063852
0,97,574.922784
0.005837,404,576.966813
0,374,581.121968
0.014869,62,581.702577
0,184,582.804997
0,155,583.881144
0,495,586.846077
0.042024,580,590.258334
0.018108,1001,595.703303
0,235,597.193665
0,451,599.794523
0.009208,470,602.507097
0.01542,51,603.10341
0,1001,610.678303
0.009788,1001,616.089209
0.02528,256,617.767267
0.003927,858,622.509268
0.034983,661,626.234465
0,720,632.285456
0,1001,637.868758
0.008359,1001,643.304985
0.040068,724,647.400661
0.009619,638,650.981115
0.017121,1001,658.486503
0,1001,664.15325
0,98,665.027839
0,1001,670.384693
0.044555,471,673.092372
7.1e-05,1001,680.970926
0,327,682.895464
0.000642,158,684.003365
0,798,688.474878
0,883,693.297366
0.008597,602,696.672348
0.043258,341,698.74937
0.00309,605,702.188773
0,483,707.42869
0,1001,712.86055
0.000199,1001,718.261865
0,194,719.547664
0,897,724.529282
0,17,724.955323
0.003212,1001,732.47376
0,377,734.765426
0.013838,1001,740.246242
0.005625,109,741.158525
0,800,745.572893
0.021163,579,748.738391
0,384,751.068638
0.009549,845,758.004425
0,603,761.436596
0.029092,1001,767.006444
0,1001,772.334845
0.021952,389,774.3699
0.00235,452,777.172728
0.013507,43,777.744288
0,179,779.024123
0.011269,70,779.785965
0,91,780.582045
0,433,785.397987
